state_name,district_name,id,value
Rajputana Agency,Rajputana Agency,12,
Rajputana Agency,Rajputana Agency,10,
Rajputana Agency,Rajputana Agency,2,
North West Province,North West Province,16,
Rajputana Agency,Rajputana Agency,1,
Rajputana Agency,Rajputana Agency,15,
Ajmer Merwara,Ajmer Merwara,2,
Rajputana Agency,Rajputana Agency,20,
Rajputana Agency,Rajputana Agency,7,
Rajputana Agency,Rajputana Agency,8,
Bombay Presidency,Bombay Presidency,36,
Rajputana Agency,Rajputana Agency,17,
Bombay Presidency,Bombay Presidency,38,
Bombay Presidency,Bombay Presidency,44,
Central India Agency,Central India Agency,12,
Central India Agency,Central India Agency,19,
Central India Agency,Central India Agency,1,
Central India Agency,Central India Agency,5,
Central India Agency,Central India Agency,4,
Central India Agency,Central India Agency,10,
Central India Agency,Central India Agency,11,
Central India Agency,Central India Agency,13,
Central India Agency,Central India Agency,14,
Central India Agency,Central India Agency,17,
Central India Agency,Central India Agency,7,
Central India Agency,Central India Agency,6,
Central India Agency,Central India Agency,15,
Central India Agency,Central India Agency,8,
Central India Agency,Central India Agency,18,
Central India Agency,Central India Agency,24,
Central India Agency,Central India Agency,26,
Central Province,Central Province,1,
Central India Agency,Central India Agency,20,
Central India Agency,Central India Agency,25,
Central India Agency,Central India Agency,21,
Bombay Presidency,Bombay Presidency,49,
Bombay Presidency,Bombay Presidency,47,
Bombay Presidency,Bombay Presidency,46,
Bombay Presidency,Bombay Presidency,45,
Bombay Presidency,Bombay Presidency,48,
Hyderabad,Hyderabad,10,
Hyderabad,Hyderabad,9,
Hyderabad,Hyderabad,2,
Central Province,Central Province,12,
Hyderabad,Hyderabad,7,
Hyderabad,Hyderabad,12,
Hyderabad,Hyderabad,14,
Hyderabad,Hyderabad,8,
Hyderabad,Hyderabad,6,
Hyderabad,Hyderabad,5,
Hyderabad,Hyderabad,13,
Hyderabad,Hyderabad,4,
Hyderabad,Hyderabad,3,
Hyderabad,Hyderabad,16,
Hyderabad,Hyderabad,17,
Hyderabad,Hyderabad,15,
Hyderabad,Hyderabad,11,
Madras Presidency,Madras Presidency,3,
Madras Presidency,Madras Presidency,1,
Madras Presidency,Madras Presidency,7,
Madras Presidency,Madras Presidency,8,
