"state_name","district_name","id","value"
"Bombay Presidency","Cutch",22,""
"Bombay Presidency","Malia",20,""
"Bombay Presidency","Diodar",29,""
"Bombay Presidency","Tharad",28,""
"Bombay Presidency","Kankrej",30,""
"Baroda","Navsari",4,""
"Baroda","Baroda",3,""
"Bombay Presidency","Surat",5,""
"Bombay Presidency","Broach",4,""
"Rajputana Agency","Dholpur",5,""
"Rajputana Agency","Karauli",6,""
"Rajputana Agency","Jaipur",2,""
"Rajputana Agency","Bharatpur",4,""
"Rajputana Agency","Alwar",3,""
"Rajputana Agency","Jhalawar",7,""
"Rajputana Agency","Tonk",10,""
"Rajputana Agency","Kotah",8,""
"Rajputana Agency","Marwar",13,""
"Ajmer Merwara","Merwara",2,""
"Rajputana Agency","Kishangarh",12,""
"Ajmer Merwara","Ajmer",1,""
"Rajputana Agency","Shahpura",21,""
"Rajputana Agency","Bundi",9,""
"Rajputana Agency","Lawa",11,""
"Rajputana Agency","Banswara",17,""
"Rajputana Agency","Partabgarh",19,""
"Bombay Presidency","Pandu Mehwas",40,""
"Bombay Presidency","Chota Udepur",39,""
"Bombay Presidency","Bariya",38,""
"Bombay Presidency","Panch Mahals",3,""
"Bombay Presidency","Sunth",36,""
"Bombay Presidency","Sanjeli",37,""
"Central India Agency","Datia",28,""
"Central India Agency","Samthar",29,""
"Central India Agency","Khaniadhana",27,""
"Central India Agency","Ali-Rajpur",11,""
"Central India Agency","Jobat",10,""
"Central India Agency","Bori",9,""
"Central India Agency","Amjhera (Gwalior)",17,""
"Central India Agency","Indore",15,""
"Central India Agency","Jhabua",8,""
"Central India Agency","Barwani",14,""
"Central India Agency","Kukshi (Indore)",13,""
"Central India Agency","Dhar",16,""
"Central India Agency","Jaora",2,""
"Central India Agency","Rampura (Indore)",3,""
"Central Province and Berar","Nimar",1,""
"Central India Agency","Dewas",4,""
"Central India Agency","Narsinghgarh",22,""
"Central India Agency","Rajgarh",24,""
"Central India Agency","Khilchipur",23,""
"Central India Agency","Shajapur (Gwalior)",21,""
"Central India Agency","Mehidpur (Indore)",19,""
"Central India Agency","Rutlam",6,""
"Central India Agency","Ujjain (Gwalior)",18,""
"Central India Agency","Mandsaur (Gwalior)",1,""
"Central India Agency","Sitamau",5,""
"Central India Agency","Gwalior",26,""
"Central Province and Berar","Bastar",7,""
"Central Province and Berar","Kanker",6,""
"Central India Agency","Orchha",30,""
"Central India Agency","Panna",33,""
"Central India Agency","Bijawar",31,""
"Central India Agency","Charkhari",34,""
"Central India Agency","Chhatarpur",32,""
"Central India Agency","Ajaigarh",39,""
"Central India Agency","Maihar",41,""
"Central India Agency","Baraundha",35,""
"Central India Agency","Jaso",40,""
"Central India Agency","Nagode",38,""
"Central India Agency","Sohawal",37,""
"Central Province and Berar","Sarangarh",8,""
"Central Province and Berar","Sakti",9,""
"Central Province and Berar","Raigarh",10,""
"Central Province and Berar","Udaipur",11,""
"Central Province and Berar","Jashpur",12,""
"Central India Agency","Rewah",42,""
"Central Province and Berar","Chang Bhakar",15,""
"Central Province and Berar","Korea",14,""
"Central Province and Berar","Surguja",13,""
"Bombay Presidency","Sangli",57,""
"Bombay Presidency","Savanur",63,""
"Bombay Presidency","Akalkot",54,""
"Bombay Presidency","Mudhol",60,""
"Bombay Presidency","Jamkhandi",59,""
"Bombay Presidency","Dharwar",17,""
"Bombay Presidency","Ramdurg",61,""
"Bombay Presidency","Bijapur",16,""
"Bombay Presidency","Sawantwadi",62,""
"Bombay Presidency","Kanara",19,""
"Bombay Presidency","Phaltan",52,""
"Bombay Presidency","Bhor",51,""
"Bombay Presidency","Kolhapur",56,""
"Bombay Presidency","Belgaum",18,""
"Bombay Presidency","Miraj",58,""
"Bombay Presidency","Oundh",53,""
"Bombay Presidency","Jat",55,""
"Bombay Presidency","Sholapur",15,""
"Bombay Presidency","Janjira",50,""
"Bombay Presidency","Kolaba",12,""
"Bombay Presidency","Ratnagiri",13,""
"Bombay Presidency","Poona",11,""
"Bombay Presidency","Ahmadnagar",10,""
"Bombay Presidency","Nasik",7,""
"Bombay Presidency","Jawahar",49,""
"Bombay Presidency","Khandesh West",9,""
"Bombay Presidency","Mewas",43,""
"Bombay Presidency","Sankheda Mehwas",42,""
"Bombay Presidency","Rajpipla",44,""
"Bombay Presidency","The Dangs",45,""
"Bombay Presidency","Surgana",47,""
"Bombay Presidency","Bansda",46,""
"Bombay Presidency","Dharampur",48,""
