"state_name","district_name","area_sq_km","perimeter_km","bbox_xmin","bbox_ymin","bbox_xmax","bbox_ymax","centroid_lon","centroid_lat","num_vertices","compactness"
"Madras Presidency","Tinnevelly",14619.18525,530.484538721445,77.2056456422272,8.11584405223711,78.3464539293035,9.80158321555879,77.730646355514,8.98931400598128,100,0.65281116294659
"Madras Presidency","Travancore",20013.21842,916.983389971,76.1500266329674,8.0669945250638,77.518540984117,10.3284819219546,76.8676866609748,9.3059562989203,193,0.29909135556624
"Madras Presidency","Cochin",4570.39335,458.621493835616,76.0392502957918,10.0550774195937,77.0462813068439,10.8562744792908,76.5232197990589,10.4212005195856,118,0.27305782955861
"Madras Presidency","Nilgiris",3424.98602,268.919698797271,76.2474694555481,11.0902837454637,77.1244454120053,11.710413131722,76.7034499086779,11.4126960628024,57,0.59514588482998
"Madras Presidency","Poodoucotta",3223.61048,365.661568793032,78.4844285820246,10.0631601977892,79.2745122117708,10.7333678257859,78.8772515154214,10.400074647954,97,0.30296592543226
"Madras Presidency","Tanjore",6903.05159,529.126795562538,78.8363651974443,9.93198780217327,79.8012065348838,11.2365573666006,79.4203074043947,10.6314867315217,110,0.30983571130238
"Madras Presidency","Madura",20811.42627,832.859548956343,77.1557510114162,9.0872458763054,79.1338741306284,10.6861769979775,78.1652852433831,9.92564758706958,192,0.37702328225108
"Madras Presidency","Coimbatore",19157.26842,888.831644134153,76.8119416834981,10.1572243311117,78.234081356675,12.2767091853866,77.4257983972374,11.1987309363424,237,0.30472243670813
"Madras Presidency","Trichinopoly",8604.95296,582.481651261045,78.0218849475223,10.2632698205008,79.5537454183814,11.3923198289945,78.7876168046743,10.9252080367389,133,0.31870866117624
"Madras Presidency","South Arcot",11652.32698,552.162074310854,78.683520888081,11.089677627273,79.8954080541744,12.3532283355593,79.2851410681693,11.7975508993904,120,0.48027433576086
"Madras Presidency","Madras",156.27261,51.265487938747,80.1812029074428,12.8858698619142,80.2845383839891,13.0632730016593,80.2293905295617,12.9839272908142,10,0.74720977889168
"Madras Presidency","Chingleput",6738.0864,479.560775728051,79.5031054950692,12.1243687515563,80.3304700494139,13.5040855212651,79.9819295700026,12.8245140703062,144,0.36817909952254
"Madras Presidency","North Arcot",20211.63108,896.220694309144,78.3524775660629,12.1683165757913,80.2049082771504,13.9315529366667,79.2715091791805,13.0897153622538,259,0.31621414342846
"Madras Presidency","Nellore",19455.42514,855.363742402085,79.2730332969443,13.4457355729168,80.352169719055,16.129585830781,79.7989030436597,15.0095063418786,249,0.3341557318081
"Madras Presidency","Salem",22546.28013,883.817420566569,77.4766696207224,10.945632638744,79.0889135033986,12.9490813852984,78.2608381631456,11.9560910437128,225,0.36271009881397
"Madras Presidency","South Canara",13039.68926,689.342976346313,74.381447197699,12.0690982896096,75.6908142740464,14.2419224978,75.0258116837619,13.1217242353324,152,0.34483107512195
"Mysore","Shimoga",11152.96938,567.381052356602,74.6036917709375,13.5073369895842,76.216052308983,14.7171758557319,75.378010150361,14.1395757817697,136,0.43536219770289
"Mysore","Cudoor",8770.70618,454.968376425095,75.0414867677365,13.1521254674914,76.4325597715661,14.0668785074035,75.8090245841886,13.5505367459356,104,0.53245388962557
"Mysore","Chittal Droog",14755.04038,794.915414681959,75.7282202393707,13.4199690094823,77.3035289222434,15.0644881122134,76.6434390371205,14.2068670370054,214,0.29343264546725
"Mysore","Hassan",7746.173,575.916387454258,75.4792734052121,12.4507025483526,76.9757514754408,13.3935168487184,76.2639221650344,12.9455213680116,142,0.29347977905658
"Mysore","Colar",8252.68189,526.210453449484,77.582562836853,12.8080999655361,78.6845733669406,14.0603536489535,78.1387834491576,13.3739291465572,164,0.37452949602671
"Mysore","Toomkoor",8868.85988,776.002320238051,76.3518238640856,12.6772574124816,77.6703867833004,14.4682932877167,77.051693641457,13.513252789812,221,0.1850766449818
"Mysore","Bangalore",8087.15523,512.568359568938,77.0551238797989,12.2225389611226,77.9488380507037,13.5685125829313,77.5195777204417,12.9443473163063,154,0.38681388504903
"Madras Presidency","Bellary",31377.45368,1505.57137574681,75.8146582828916,13.6820756707418,78.2932824726746,16.0509349017858,77.2533103332019,14.9476166771979,393,0.17395017202555
"Madras Presidency","Godavery",15274.25205,740.83556389367,81.0244999139322,16.3241029740275,82.802095309681,17.8094337851431,81.8313074526867,17.0175817529981,190,0.3497245917257
"Madras Presidency","Kistna",19740.75935,987.745927714876,79.3311266426449,15.5776377457151,81.498804590418,17.1951468907428,80.5533126577853,16.4295909869071,287,0.25426303270422
"Madras Presidency","Kurnool",18212.99448,894.591481110726,77.5053238400836,14.9436192989616,79.7775753177437,16.4328395029938,78.6632456095842,15.6942453583653,235,0.28598397843274
"Madras Presidency","Cuddapah",24523.08329,851.625830700622,77.9803497915328,13.4807706143906,79.6563922997924,15.3801843434016,78.8267709513865,14.3451741189953,242,0.42490054294232
"Berar","Buldana",7275.73431,420.927282316352,75.9792343314721,19.8696145053144,76.9047913370614,21.0478922971562,76.4257387533939,20.4918243004587,91,0.51602714143805
"Berar","Bassin",6663.20535,577.443337120897,76.6233221343805,19.3667966080861,78.3544996805759,20.3615739880002,77.5187133957091,19.913763162751,138,0.25111595820435
"Berar","Yothmal",7681.04233,412.376156151082,77.5186227265606,19.8335727062224,78.9872080006941,20.6296634439145,78.2453212421561,20.2086794624574,95,0.56760071020337
"Berar","Oomrawuttee",8179.74785,453.473624239872,77.4429547979959,20.2589005301646,78.5445768039287,21.5848680421746,77.896556011933,20.9231671780955,88,0.49985692873994
"Berar","Akola",7161.84468,394.503240362045,76.5649338764588,20.2442983530688,77.4725225399444,21.2360058786379,77.0548634323248,20.7148922663143,93,0.57827392853864
"Berar","Ellichpoor",9575.9645,619.92761624884,75.9190535410705,20.7549963446811,77.8103452640577,21.761446253987,76.9609297541283,21.320244400074,113,0.31311972321322
"Bombay Presidency","Nuesies",1324.26786,185.475319061168,72.9588922810714,18.0740894918395,73.3563869770753,18.6607532255814,73.1426304807164,18.3278973809037,57,0.48374161552699
"Bombay Presidency","Kolaba",4085.3879,371.329109200773,72.9052320905332,18.0273197544043,73.7229786849483,19.0658148205501,73.2971782052373,18.5566571084316,96,0.37232754861552
"Bombay Presidency","Tanna",12033.31223,694.150419535086,72.6453592101432,18.8660241427847,73.7957785171548,20.343809881598,73.2128410743614,19.5778767121813,197,0.31382523914298
"Bombay Presidency","Bhore",2792.1103,249.704065327869,73.3001283470506,18.1353306411938,74.0196405777708,18.8854934634133,73.6488167704773,18.5002471626394,52,0.56271851977326
"Bombay Presidency","Ratnagiri",13943.98983,628.801814674305,73.1135084749266,15.8721005994833,74.02343960721,18.1422744524593,73.613267432484,17.1096206419215,155,0.44316897469798
"Bombay Presidency","Sawuntwarree",1201.57372,157.897064484891,73.6475426328277,15.7805063817159,74.1519638880269,16.2226555959633,73.8531482614906,16.0394458083827,29,0.60563668374407
"Bombay Presidency","Kolapoor",6659.15426,574.692291856964,73.9477420813677,15.8203468644846,74.8515611713208,17.1894004842788,74.316473303413,16.5649746406567,141,0.2533717525345
"Bombay Presidency","Dharwar",11348.5745,750.154541344664,74.8708229698799,14.3596043631513,76.0335785254302,15.987945953677,75.5133681377604,15.2707098577182,190,0.25342513799558
"Bombay Presidency","Kaladgi",10984.04728,532.335966584733,75.5045181241974,15.9197842821944,76.3788247727205,17.545010123389,75.9440988327929,16.6818836824791,153,0.48708038244863
"Bombay Presidency","Nasik",13140.4194,505.958385793345,73.5494139877359,19.6692832380812,74.9889187205897,20.9691410944487,74.2024895321985,20.3466015943938,102,0.6450442287474
"Bombay Presidency","Ahmad Nagar",15765.7465,952.053676970042,73.7054983571983,18.155947070072,75.6013498837925,20.071750362035,74.7294154954768,19.2090719871195,241,0.21857552689545
"Bombay Presidency","Poona",12504.47015,603.909716060142,73.6145011758664,18.0019002121217,75.1779271264382,19.5424236168845,74.2340812952208,18.7162502165209,140,0.43085498747855
"Bombay Presidency","Phaltan",1209.93361,137.478910433386,74.224118820019,17.9455319607941,74.708884498123,18.2132898220539,74.4620156985467,18.0755338873831,37,0.80445034191751
"Bombay Presidency","Meeruj",2456.26224,371.401620870699,74.5936558380224,16.6133311090115,75.1778178473878,17.4333244874753,74.9246870162511,17.0299715272,113,0.22376749866449
"Bombay Presidency","Juruh",1265.8259,141.027764638514,74.720701146574,17.3774201927222,75.1198715097371,17.7677476472821,74.9314312285645,17.5905275450103,36,0.79978747426539
"Bombay Presidency","Satara",12404.34938,662.289674729206,73.7393750393458,16.9047690237379,75.1601008002864,18.2342065971052,74.3669791455263,17.6062495858767,166,0.35537582859818
"Bombay Presidency","Jat",2777.62437,299.76903535866,75.0872319265934,16.9903181098794,75.7257917679057,17.6656386085489,75.4528189887521,17.293887284422,96,0.3884273813277
"Bombay Presidency","Jamkhandi",883.20276,140.345821450278,75.3478301723138,16.5960839399288,75.6829559086844,17.0297839913452,75.5222194424244,16.7836242071559,39,0.56347066130653
"Bombay Presidency","Mudhole",1619.05248,191.508275454966,75.1570580430899,16.1910374422559,75.6257712387693,16.7593564608608,75.4252015867669,16.4933445724933,53,0.55474794252513
"Bombay Presidency","Mhyekanta",10129.80176,822.312955650186,72.6255884637482,16.7187262609537,75.6019533123859,24.3732812143985,73.5426254470975,22.549659181014,244,0.18825067615774
"Bombay Presidency","Akalkote",1069.29227,130.415888251112,76.0404305599939,17.3917719368194,76.3782292577693,17.7831736551878,76.2218160879542,17.5777427949953,33,0.79003309522219
"Bombay Presidency","Sholapur",8234.67554,629.387566819466,75.0446067978861,17.3193975585269,76.1721843057086,18.5054766033875,75.5561086933044,17.8603961903207,182,0.26122818744329
